ZCTA5CE,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
19107,B5,G6350,S,1403476,0,+39.9516717,-075.1586408
19153,B5,G6350,S,18735410,1108988,+39.8944136,-075.2323747
19145,B5,G6350,S,12634025,181569,+39.9134309,-075.1915558
19122,B5,G6350,S,3302748,0,+39.9777157,-075.1458479
19108,B5,G6350,S,17133,0,+39.9598651,-075.1608294
17953,B5,G6350,S,1406332,0,+40.7304136,-076.0852045
17972,B5,G6350,S,124450309,70753,+40.5843518,-076.2144288
17982,B5,G6350,S,13240113,0,+40.7856539,-076.0221767
17864,B5,G6350,S,57467165,120540,+40.7047267,-076.9058189
17813,B5,G6350,S,111984639,1412347,+40.7805359,-077.2345197
15542,B5,G6350,S,102591311,0,+39.8740680,-079.0796159
15411,B5,G6350,S,54696163,0,+39.7476101,-079.3372714
15937,B5,G6350,S,1821876,0,+40.2033211,-078.9838530
15561,B5,G6350,S,1648296,0,+40.0952847,-079.0868768
18616,B5,G6350,S,148988704,536371,+41.5111139,-076.6325182
18630,B5,G6350,S,170228506,518571,+41.6621435,-076.0236360
18820,B5,G6350,S,2103154,0,+41.8107717,-075.6478350
18813,B5,G6350,S,2566519,0,+41.7518873,-075.8006082
16928,B5,G6350,S,95520929,0,+41.9511418,-077.4338604
16946,B5,G6350,S,169154988,4783314,+41.9179888,-077.1252804
16374,B5,G6350,S,172086463,102948,+41.2634975,-079.8150851
16372,B5,G6350,S,5053667,5373,+41.1854856,-079.8650013
16343,B5,G6350,S,2442262,0,+41.4179475,-079.7435720
16405,B5,G6350,S,44051077,0,+41.9415252,-079.5295094
15323,B5,G6350,S,186944833,32643,+40.1031513,-080.4174368
15367,B5,G6350,S,26909521,53248,+40.2660536,-080.0579147
15301,B5,G6350,S,313912286,714278,+40.1534955,-080.2534619
15314,B5,G6350,S,44337967,100180,+40.1463056,-080.0168087
15366,B5,G6350,S,306076,0,+40.1549650,-079.9761418
15004,B5,G6350,S,358026,0,+40.3392705,-080.3789621
18438,B5,G6350,S,13364920,189375,+41.4260234,-075.2747462
18461,B5,G6350,S,63471515,1196918,+41.9290034,-075.3276736
15650,B5,G6350,S,206092314,283903,+40.2771765,-079.3929072
15687,B5,G6350,S,72440019,339857,+40.1362169,-079.3164459
15634,B5,G6350,S,321902,0,+40.3252830,-079.6058918
15660,B5,G6350,S,1202939,0,+40.2435841,-079.7746585
15624,B5,G6350,S,3123867,0,+40.3606782,-079.4819672
15678,B5,G6350,S,716379,0,+40.2893301,-079.7241941
17315,B5,G6350,S,164132379,0,+40.0227719,-076.8658750
17316,B5,G6350,S,102204472,1753106,+39.9654653,-077.0079606
17344,B5,G6350,S,2918421,0,+39.8080238,-077.0204870
17324,B5,G6350,S,123383201,674995,+40.0318113,-077.2349566
17343,B5,G6350,S,585269,0,+39.8725842,-077.3295958
15220,B5,G6350,S,13933463,0,+40.4181491,-080.0497711
15239,B5,G6350,S,44531051,1376,+40.4852610,-079.7429328
15201,B5,G6350,S,6255144,0,+40.4749518,-079.9519524
15208,B5,G6350,S,4710982,0,+40.4518176,-079.9000448
15122,B5,G6350,S,35154295,0,+40.3578075,-079.9068404
15227,B5,G6350,S,17692508,0,+40.3777397,-079.9692451
15044,B5,G6350,S,106908519,81153,+40.6378574,-079.9481302
16059,B5,G6350,S,67792675,195015,+40.7070818,-079.9270877
15017,B5,G6350,S,32543415,142430,+40.3396144,-080.1282165
15223,B5,G6350,S,5685721,0,+40.5061304,-079.9526303
15064,B5,G6350,S,802315,0,+40.3536663,-080.1397301
15129,B5,G6350,S,19432260,0,+40.2936296,-079.9949956
15241,B5,G6350,S,26571775,19696,+40.3328591,-080.0818509
15006,B5,G6350,S,473769,0,+40.6292283,-079.8827427
15015,B5,G6350,S,2450208,0,+40.6364936,-080.0813125
