LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
Lakeview SD,School District,Mercer,13.2133333333333,12.0933333333333,96,58547.9731543624,150
Lampeter-Strasburg SD,School District,Lancaster,16.7009966777409,13.5980066445183,217,69884.9867109635,301
Lancaster SD,School District,Lancaster,12.2537313432836,10.4748134328358,762,65851.5979477612,1072
Laurel Highlands SD,School District,Fayette,14.6271777003484,12.9686411149826,190,65082.3658536585,287
Laurel SD,School District,Lawrence,17.1171171171171,15.5135135135135,80,71023.4,111
Lebanon SD,School District,Lebanon,12.1576354679803,11.1625615763547,278,61072.7093596059,406
Leechburg Area SD,School District,Armstrong,15.1764705882353,13.5980392156863,60,71464.2254901961,102
Lehighton Area SD,School District,Carbon,15.2,13.2444444444444,159,58106.6473214286,225
Lewisburg Area SD,School District,Union,14.3717277486911,10.8743455497382,132,65734.3,191
Ligonier Valley SD,School District,Westmoreland,17.1979166666667,14.1822916666667,137,63933.2617801047,192
Line Mountain SD,School District,Northumberla,14.4655172413793,12.4655172413793,79,55407.8448275862,116
Littlestown Area SD,School District,Adams,12.6915887850467,11.018691588785,140,62790.2488262911,214
Lower Dauphin SD,School District,Dauphin,14.9902912621359,12.747572815534,309,62083.0463414634,412
Lower Merion SD,School District,Montgomery,16.3710359408034,12.6427061310782,675,100771.787526427,946
Lower Moreland Township SD,School District,Montgomery,13.7219917012448,11.4854771784232,171,89322.4791666667,241
Loyalsock Township SD,School District,Lycoming,13.5615384615385,11.4923076923077,87,62478.2769230769,130
Mahanoy Area SD,School District,Schuylkill,14.7806451612903,11.9612903225806,112,51256.8774193548,155
Manheim Central SD,School District,Lancaster,14.7649122807018,12.1473684210526,200,64171.1263157895,285
Manheim Township SD,School District,Lancaster,13.9036363636364,11.1890909090909,392,66365.5364963504,550
Marion Center Area SD,School District,Indiana,15.2,13.951724137931,99,65151.724137931,145
Marple Newtown SD,School District,Delaware,13.8727810650888,12.8609467455621,256,72993.7189349112,338
Mars Area SD,School District,Butler,13.298755186722,13.1244813278008,173,64658.3236514523,241
McGuffey SD,School District,Washington,12.8214285714286,11.0446428571429,164,57434.3571428571,224
