Match_addr,City,Subregion,Region,Postal,Lon,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,Date_Clean,Address_Cl,Zip_Code,Type_Clean,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4650 Creekview Road 17011,,,17011,,,,,9/1/2016,4650 Creekview Road 17011,17011,Theft by Unlawful Taking,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,6/10/2015,4750 Brian Road 17011,17011,Access Device Fraud,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,12/25/2015,4750 Brian Road 17011,17011,Aggravated Assault,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,11/5/2015,4750 Brian Road 17011,17011,Criminal Mischief,,,,,,,,,,,,,,,,,,
"4750 N Clearview Dr, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.96456,40.23649,-76.96456,40.23649,-76.96556,-76.96356,40.23549,40.23749,4750 North Clearview 17011,,,17011,,,,,12/21/2015,4750 North Clearview 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4750 East Trindle Road 17011,,,17011,,,,,2/24/2015,4750 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4750 East Trindle Road 17011,,,17011,,,,,5/6/2015,4750 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,11/6/2015,4750 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.94779,40.23383,-76.94779,40.23383,-76.95679,-76.93879,40.22483,40.24283,4750 Trindle Road 17011,,,17011,,,,,4/16/2015,4750 Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,7/17/2016,4750 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4750 East Trindle Road 17011,,,17011,,,,,12/4/2016,4750 East Trindle Road 17011,17011,Harassment,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Charles Road 17011,,,17011,,,,,11/9/2016,4750 Charles Road 17011,17011,Identity Theft,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,12/16/2016,4750 Carlisle Pike 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,9/23/2016,4750 Carlisle Pike 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,10/2/2015,4750 Carlisle Pike 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
