OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
825,2024,NV5,365,365,45,48,0,0
826,2024,NV6,5,5,4,5,0,0
827,2024,NY1,21,21,7,4,0,0
828,2024,NY4,7,7,1,1,0,0
829,2024,NY5,20,20,6,8,0,0
830,2024,NY7,36,36,16,13,0,0
831,2024,NY9,4,4,2,2,0,0
832,2024,NYL,74,74,1031,845,1051731,0
833,2024,NYS,2834,2849,943,943,0,0
834,2024,NZY,147,147,10,6,480418,0
835,2024,OAJ,144603,145314,2763,2764,113,0
836,2024,OAK,4983849,5036430,54132,54415,519121126,18390354
837,2024,OBE,0,1,105,107,0,0
838,2024,OBU,970,2798,777,777,75026,71849
839,2024,OCA,6,6,2,2,0,0
840,2024,OCE,21,21,7,5,0,0
841,2024,OCF,62,62,19,19,0,0
842,2024,ODW,1,1,1,1,0,0
843,2024,OFF,88,88,3,2,0,0
844,2024,OGD,15507,15787,196,197,112382,0
845,2024,OGG,3294923,3299779,36836,37029,23087529,2453831
846,2024,OGS,6263,6263,516,517,0,0
847,2024,OHC,9,13,6,6,4200,0
848,2024,OKC,2243268,2311284,25897,25953,30283427,3626727
849,2024,OLF,3183,3183,677,676,0,0
850,2024,OLH,2299,2339,997,998,5872,3245
851,2024,OLM,0,0,1,1,0,0
852,2024,OMA,2580019,2618814,26863,26856,45364914,7846996
853,2024,OME,68803,70605,10308,10320,4768206,7719823
854,2024,ONH,10,10,2,2,0,0
855,2024,ONN,22,22,13,12,0,0
856,2024,ONP,0,0,496,520,102273,0
857,2024,ONT,3277040,3314985,42376,42124,829279681,68774220
858,2024,OOK,3329,4302,1765,1757,30564,80969
859,2024,OPF,13666,13936,841,847,48196,0
860,2024,OR1,4,4,1,1,0,0
861,2024,OR4,24,24,6,6,0,0
862,2024,ORD,31613389,31683551,328086,329047,381704912,26670187
863,2024,ORF,2444479,2471705,25514,25634,17360009,611
864,2024,ORH,112838,112838,1364,1375,5902,0
865,2024,ORI,1307,1331,972,968,3520,4512
866,2024,ORL,83,83,21,22,0,0
867,2024,ORV,3715,5199,1453,1454,62237,43364
868,2024,OSC,0,0,42,35,259344,0
869,2024,OSU,24,24,5,5,0,0
870,2024,OTH,20463,20463,967,894,278375,0
871,2024,OTS,2,2,2,2,0,0
872,2024,OTZ,60547,63134,10090,10110,3475343,10536981
873,2024,OUN,26,26,3,3,0,0
874,2024,OWB,8831,8831,637,639,0,0
875,2024,OWD,113,113,38,41,0,0
876,2024,OWK,10,10,2,2,0,0
877,2024,OXC,99,99,34,29,0,0
878,2024,OXD,8,8,1,1,0,0
879,2024,OXR,22,22,9,7,0,0
880,2024,PA3,6,6,2,2,0,0
881,2024,PA5,59,59,21,16,0,0
882,2024,PA8,2,2,1,1,0,0
883,2024,PAE,275692,276093,3389,3383,2329886,0
884,2024,PAH,13429,13429,634,631,0,0
885,2024,PAM,292,292,5,3,73850,0
886,2024,PAO,6,6,5,7,0,0
887,2024,PAQ,3,3,13,14,23153,0
888,2024,PBG,92952,93237,1252,1251,968,0
889,2024,PBI,4084956,4103353,31645,31635,25545601,31904
890,2024,PBK,342,347,129,128,0,0
891,2024,PCD,2,2,1,2,0,0
892,2024,PCT,69,69,21,16,0,0
893,2024,PDB,116,116,119,119,558,2754
894,2024,PDK,143,143,37,36,0,0
895,2024,PDT,6579,6579,1085,1086,0,0
896,2024,PDX,8223580,8239244,81043,81597,223627793,14464533
897,2024,PEC,892,903,407,412,36206,3917
898,2024,PGA,19452,19452,1527,1794,0,0
899,2024,PGD,957078,958157,6261,6251,0,0
900,2024,PGM,2275,2733,1713,1721,1625,650
901,2024,PGO,13,13,1,1,0,0
902,2024,PGV,42265,42541,1044,1049,317,0
903,2024,PHF,68669,69342,1655,1656,736,0
904,2024,PHK,2,2,6,9,0,0
905,2024,PHL,13195311,13231652,129624,129854,330004946,19380995
906,2024,PHO,3998,4537,1552,1554,40845,32748
907,2024,PHX,24145821,24290346,208622,208453,305428045,12503778
908,2024,PIA,342550,343702,4970,4974,10090791,25839
909,2024,PIB,15190,17248,633,629,0,0
910,2024,PIE,1227639,1229765,8336,8322,83946,0
911,2024,PIH,24601,25303,967,1175,255152,0
912,2024,PIP,218,350,344,344,11327,21288
913,2024,PIR,14880,14880,872,888,94038,0
914,2024,PIT,4742054,4782209,51528,51576,80644301,4555962
915,2024,PIZ,1625,1735,657,659,43733,3963
916,2024,PKA,1604,1655,1060,1060,10439,9834
917,2024,PKB,4347,6857,620,619,0,0
918,2024,PLN,31031,31031,1109,1290,223326,0
919,2024,PML,134,137,76,76,2028,2125
920,2024,PNE,118,118,30,23,0,0
921,2024,PNN,4,4,2,2,0,0
922,2024,PNS,1528070,1537569,15781,15828,5446855,2715654
923,2024,POB,378,425,5,5,0,0
924,2024,POU,12,12,5,4,0,0
925,2024,PPC,736,737,129,133,3188,0
926,2024,PPG,31421,31421,180,180,600748,21711
927,2024,PPM,3,3,1,3,0,0
928,2024,PPV,27,38,87,90,3494,8468
929,2024,PQI,21608,21608,839,1085,112966,0
930,2024,PQS,3467,4417,2832,2833,18142,31647
931,2024,PR1,48,48,8,8,0,0
932,2024,PRB,22,22,27,32,38630,0
933,2024,PRC,25290,25290,749,748,0,0
934,2024,PSC,476639,478038,7243,6416,1492972,0
935,2024,PSE,137553,137553,926,930,0,0
936,2024,PSF,34,34,15,12,0,0
937,2024,PSG,25209,55082,1227,1229,2260808,501776
938,2024,PSK,0,0,5,6,0,0
939,2024,PSM,57063,57377,453,455,154733,0
940,2024,PSP,1421454,1433120,14646,14653,277749,3597
941,2024,PTA,131,131,210,209,154,10408
942,2024,PTD,127,126,97,97,402,1150
943,2024,PTH,419,777,457,457,53763,87027
944,2024,PTK,424,424,208,237,69380,0
945,2024,PTL,12,31,26,25,690,970
946,2024,PTU,505,515,401,403,13414,22323
947,2024,PTW,2,2,2,2,0,0
948,2024,PUB,1381,2362,406,409,2115,0
949,2024,PUC,0,0,2,2,0,0
950,2024,PUL,3,3,6,8,0,0
951,2024,PUW,64580,64623,1073,1071,2419,0
952,2024,PVC,6882,6882,1486,1490,0,0
953,2024,PVD,1984163,1990470,20946,20812,11597508,0
954,2024,PVU,455039,455810,3498,3492,3509,0
955,2024,PWA,10,10,1,1,0,0
956,2024,PWK,241,241,78,77,0,0
957,2024,PWM,1221697,1222376,14285,14075,7300248,0
958,2024,PWT,3,3,5,5,0,0
959,2024,PYM,33,33,9,12,0,0
960,2024,QAJ,8,8,2,2,0,0
961,2024,QMA,5,5,2,2,0,0
962,2024,QMN,9,9,2,3,0,0
963,2024,QQB,11,11,4,4,0,416
964,2024,QQT,4,4,1,1,0,0
965,2024,QQU,2,2,1,1,0,0
966,2024,QQY,0,0,4,4,5196,0
967,2024,RAC,9,9,2,3,1140,0
968,2024,RAL,0,0,1,1,0,0
969,2024,RAP,418123,423025,5881,5894,1433160,414
970,2024,RBD,2,2,1,2,0,0
971,2024,RBG,0,0,680,546,120567,0
972,2024,RBH,6464,6464,1172,1176,49675,0
973,2024,RBK,2,2,1,1,0,0
974,2024,RBL,3,3,1,1,0,0
975,2024,RBN,20320,20320,2669,2659,0,0
976,2024,RBW,2,2,1,2,0,0
977,2024,RBY,2089,3554,823,824,90316,50191
978,2024,RCA,127,127,4,2,13801,0
979,2024,RCE,4699,4699,1164,1502,5,0
980,2024,RDB,15159,15203,813,862,653564,11252
981,2024,RDD,88565,88565,2302,2160,875468,0
982,2024,RDG,81,629,14,10,0,0
983,2024,RDM,601149,601574,8772,8945,832738,0
984,2024,RDU,7285042,7328063,66919,67108,69267215,1077778
985,2024,RDV,44,75,129,132,16045,16591
986,2024,RFD,131605,138744,11078,11003,465421353,28350185
987,2024,RHI,24813,24813,1118,1261,284763,0
988,2024,RIC,2455831,2486507,27600,27602,84742048,3310659
989,2024,RIL,132,132,32,36,0,0
990,2024,RIV,1776,1776,869,869,45608396,0
991,2024,RIW,21624,21624,627,627,0,0
992,2024,RKD,7282,7282,1383,1381,0,0
993,2024,RKS,21533,21564,929,885,112705,0
994,2024,RLU,2,2,3,3,0,0
995,2024,RME,119,119,6,5,6000,0
996,2024,RMN,12,12,1,1,0,0
997,2024,RMP,540,720,315,316,20672,7321
998,2024,RNO,2342128,2354499,24987,24809,65548126,251808
999,2024,RNT,1937,2218,564,565,0,0
1000,2024,ROA,381985,382595,7486,7506,10363092,0
1001,2024,ROC,1331446,1335318,16783,16860,33070822,0
1002,2024,ROG,17,17,4,4,0,0
1003,2024,ROP,10717,10717,2851,3205,420879,0
1004,2024,ROW,48729,48908,1000,998,500,0
1005,2024,RQE,0,0,5,1,1337,0
1006,2024,RSH,2748,2840,1652,1650,7032,15502
1007,2024,RSJ,1419,1419,449,455,0,0
1008,2024,RST,98436,101938,2470,2657,7452215,41
1009,2024,RSW,5252997,5279987,38303,38298,15753395,31358
1010,2024,RUT,4481,4481,905,894,0,0
1011,2024,RWI,16,16,12,12,65242,0
1012,2024,SAA,39,39,5,4,0,0
1013,2024,SAC,15,15,4,5,0,0
1014,2024,SAD,60,60,13,12,0,0
1015,2024,SAF,180127,180132,3417,3426,0,0
1016,2024,SAN,12277942,12384394,97741,97804,100134869,8121843
1017,2024,SAT,5109821,5190902,45773,45676,93395164,7289063
1018,2024,SAV,2020183,2034700,21833,21851,10305814,97
1019,2024,SBA,695993,699776,8721,8788,949349,0
1020,2024,SBD,19975,20009,4554,4415,269705334,926942
1021,2024,SBN,454755,456286,7587,7601,8764092,0
1022,2024,SBP,366112,366112,5984,6154,388652,0
1023,2024,SBY,60295,60490,1834,1833,26416,0
1024,2024,SC6,6,6,2,2,0,0
1025,2024,SC7,2,2,1,1,0,0
1026,2024,SCC,96969,97670,3030,2960,4908706,7204859
1027,2024,SCE,134040,134075,3797,3752,1207682,0
1028,2024,SCF,41097,42045,2157,2148,0,0
1029,2024,SCH,9,9,5,7,0,0
1030,2024,SCK,63635,63655,1222,1226,50131602,0
1031,2024,SCM,3719,4911,1548,1548,46788,71010
1032,2024,SDF,2342487,2381507,74603,73963,2783912290,322487696
1033,2024,SDM,30,30,15,12,33525,0
1034,2024,SDP,2835,6154,1109,1146,1190351,839586
1035,2024,SDX,8,8,6,6,0,0
1036,2024,SDY,7331,7331,1681,1684,490,0
1037,2024,SEA,22279609,22288303,191107,191040,349031837,14452644
1038,2024,SEE,79,79,11,10,0,0
1039,2024,SEF,3,3,2,1,0,0
1040,2024,SFB,1381808,1384838,9448,9444,8660,0
