"","NCESSCH","USER_ID","cohort","TreatmentFlag","FIDELmid","EFFmeanMID","EFFmeanFINAL","CoTeachStrat","FINAL_a","FINAL_b","FINAL_c","MID_a","MID_b","MID_c","REG_a","REG_b","REG_c","CollabDialogueFinal","CollabDialogueMid","FidelMax","REG_Gender","REG_AgeRange","REG_Exper","REG_GPA","pctLunch","Enrollment","keep","ZPR_1","ZEFFmeanFINAL","ZEFFmeanMID","ZFIDELmid","ZREG_GPA","cc","FIDxGRP","PRE_1","COO_1","LEV_1","PRE_2","COO_2","LEV_2"
"24",422157006120,"379","Semester 3",1,5,3.41666666666667,4,5,4,4,4,3.5,3.25,3.5,3.5,3.25,3.5,1,1,4.16666666666667,2,2,3,3.52,0.426326129666012,509,1,0.192504891144527,0.960002334375313,0.192504891144526,0.963247839514007,-0.614213435650727,1,5,0.294629048096179,4.85051824083346e-05,0.00982035384264793,0.544231934626856,0.000881355316024361,0.0223260170844683
"25",422010007500,"385","Semester 3",1,5,3.75,3.75,6,4,3.5,3.75,3.75,3.75,3.75,3,3,3.5,1.9,2.6,5,2,2,1,4,59.864,80,1,1.05283539230896,0.352448409473454,1.05283539230896,0.963247839514007,1.30324482124238,1,5,0.294629048096179,0.00267365890817171,0.00982035384264793,0.141065382063054,0.00420233860292515,0.0145538765601578
"26",422010007500,"574","Semester 5",1,4.90909090909091,3.75,3.66666666666667,5,3.5,3.75,3.75,3.25,4,4,3.5,3.75,4,1.7,1.6,4.83333333333333,2,2,3,3.68,59.864,80,1,1.05283539230896,0.149930434506167,1.05283539230896,0.82022252454105,0.0249393166469769,1,4.90909090909091,0.229809748477274,0.00266943161815657,0.00753819188143445,0.485728375318979,0.00214894669991693,0.020684727318456
"27",422010007500,"567","Semester 5",1,4.63636363636364,3.5,3.91666666666667,4,3.75,4,4,3,3.75,3.75,3.25,3.75,3.75,1.8,2.3,4.83333333333333,2,2,3,3.5,59.864,80,1,0.407587516435635,0.757484359408026,0.407587516435634,0.391146579622178,-0.69410752968794,1,4.63636363636364,0.0353518496205608,0.000355035019230409,0.00304615363198706,0.310217697395347,5.70811681203271e-05,0.0182113866066678
"28",422010004597,"209","Semester 2",1,4.81818181818182,3.75,3.91666666666667,1,3.75,4,4,3.75,4,3.5,3.75,4,4,1,1.6,5,2,2,1,3.54,0.310043668122271,916,0,1.05283539230896,0.757484359408026,1.05283539230896,0.677197209568092,-0.534319341613514,1,4.81818181818182,0.16499044885837,0.00264692415546988,0.00564843785925314,0.0240582634472998,0.00399926975101766,0.00963526949517625
"29",422010004597,"582","Semester 5",1,4.81818181818182,2.66666666666667,3.58333333333333,1,4,3.25,3.5,2.5,3,2.5,3,2.25,2.75,2,3.1,4.66666666666667,2,2,1,3.3,0.310043668122271,916,0,-1.74323873647544,-0.0525875404611189,-1.74323873647544,0.677197209568092,-1.49304847006007,1,4.81818181818182,0.16499044885837,0.0122272365387075,0.00564843785925314,0.0240582634472998,0.0118020425836952,0.00963526949517625
"30",421899006825,"195","Semester 2",1,4.54545454545455,3.25,3.25,2,3,3.25,3.5,3.25,3.5,3,2.75,2.75,2.75,2,2.9,3.83333333333333,1,2,1,4,0.611650485436893,206,0,-0.237660359437688,-0.862659440330265,-0.237660359437689,0.248121264649221,1.30324482124238,1,4.54545454545455,-0.0294674499983437,0.000101683300742155,0.0023336234269023,-0.151452414476332,1.99148677927132e-05,0.00532051963051479
"31",421899005041,"194","Semester 2",1,4.63636363636364,3.75,3.5,5,3,3.75,3.75,3.5,4,3.75,3,2.5,2.75,1.4,1.4,5,2,2,1,3.4,0.461538461538462,520,1,1.05283539230896,-0.255105515428406,1.05283539230896,0.391146579622178,-1.09357799987401,1,4.63636363636364,0.0353518496205608,0.00265271144563427,0.00304615363198706,-0.0929488551684544,0.00386002199315566,0.0063503481543605
"32",421899005041,"289","Semester 3",1,4.81818181818182,3.58333333333333,3.75,4,4,3.25,4,3.5,3.25,4,3.25,3.5,3.75,1,1,5,2,2,1,4,0.461538461538462,520,1,0.622670141726743,0.352448409473454,0.622670141726743,0.677197209568092,1.30324482124238,1,4.81818181818182,0.16499044885837,0.000703380837907468,0.00564843785925314,0.0240582634472998,0.00135403146777742,0.00963526949517625
"33",421899005041,"291","Semester 3",1,4,3.41666666666667,3.91666666666667,7,4,3.75,4,3.75,3,3.5,3.75,3.25,3.25,1.1,2,5,2,2,3,3.8,0.461538461538462,520,1,0.192504891144527,0.757484359408026,0.192504891144526,-0.610030625188524,0.504303880870253,1,4,-0.418383247711771,0.00132782398664645,0.00629900891606951,-0.0993072177597929,0.000709117345712939,0.0267350083656124
"34",421899005041,"287","Semester 3",1,2.90909090909091,2.91666666666667,1,2,1,1,1,3,2.75,3,3,3,3.25,2.1,3,4.41666666666667,2,2,2,3.1,0.461538461538462,520,0,-1.09799086060212,-6.330644764447,-1.09799086060212,-2.32633440486401,-2.2919894104322,1,2.90909090909091,-1.19621484313863,0.00020026935894105,0.0566098373098795,-1.00293320573622,0.000175731768174281,0.0641085845480906
"35",421899005041,"288","Semester 3",1,4.90909090909091,3.66666666666667,4,3,4,4,4,3.75,3.25,4,3.75,3.75,3.75,1,1,5,2,2,1,3.96,0.461538461538462,520,0,0.83775276701785,0.960002334375313,0.83775276701785,0.82022252454105,1.14345663316796,1,4.90909090909091,0.229809748477274,0.00145652457581014,0.00753819188143445,0.0825618227551769,0.00248696074408291,0.0118903623121463
