Match_addr,City,Subregion,Region,Postal,Lng,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,CrimeDate,Address_Cl,Zip_Code,CrimeType
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,410 St Johns Church Road (Coliseum) 17011,,,17011,,,,,11/23/2015,410 St Johns Church Road (Coliseum) 17011,17011,Theft by Unlawful Taking
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,2/8/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/25/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/17/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/15/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/13/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/4/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,1/3/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft from a Motor Vehicle
"410 Fallowfield Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.944185,40.233311,-76.945071,40.233270,-76.945185,-76.943185,40.232311,40.234311,410 Fallowfield Road 17011,,,17011,,,,,4/23/2015,410 Fallowfield Road 17011,17011,Theft from a Motor Vehicle
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,410 St Johns Church Road (Coliseum) 17011,,,17011,,,,,7/8/2015,410 St Johns Church Road (Coliseum) 17011,17011,Theft of Services
