NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,ZEFFmeanFINAL,cc
422010007500,567,1,4.63636363636364,3.5,3.91666666666667,3.75,4,4,3,3.75,3.75,3.25,3.75,3.75,1.8,2.3,4.83333333333333,2,2,3,3.5,.427760123672433,.769649168486463,1
422010004597,209,1,4.81818181818182,3.75,3.91666666666667,3.75,4,4,3.75,4,3.5,3.75,4,4,1,1.6,5,2,2,1,3.54,1.06940030918108,.769649168486463,1
422010004597,582,1,4.81818181818182,2.66666666666667,3.58333333333333,4,3.25,3.5,2.5,3,2.5,3,2.25,2.75,2,3.1,4.66666666666667,2,2,1,3.3,-1.71104049468973,-.0324550854181014,1
421899006825,195,1,4.54545454545455,3.25,3.25,3,3.25,3.5,3.25,3.5,3,2.75,2.75,2.75,2,2.9,3.83333333333333,1,2,1,4,-.213880061836216,-.834559339322667,1
421899005041,194,1,4.63636363636364,3.75,3.5,3,3.75,3.75,3.5,4,3.75,3,2.5,2.75,1.4,1.4,5,2,2,1,3.4,1.06940030918108,-.232981148894243,1
421899005041,289,1,4.81818181818182,3.58333333333333,3.75,4,3.25,4,3.5,3.25,4,3.25,3.5,3.75,1,1,5,2,2,1,4,.64164018550865,.368597041534181,1
421899005041,291,1,4,3.41666666666667,3.91666666666667,4,3.75,4,3.75,3,3.5,3.75,3.25,3.25,1.1,2,5,2,2,3,3.8,.213880061836217,.769649168486463,1
421899005041,287,1,2.90909090909091,2.91666666666667,1,1,1,1,3,2.75,3,3,3,3.25,2.1,3,4.41666666666667,2,2,2,3.1,-1.06940030918108,-6.24876305317849,1
421899005041,288,1,4.90909090909091,3.66666666666667,4,4,4,4,3.75,3.25,4,3.75,3.75,3.75,1,1,5,2,2,1,3.96,.855520247344866,.970175231962605,1
421899005041,394,1,4.63636363636364,2.83333333333333,4,4,4,4,2.75,3.25,2.5,2.5,2.75,2.75,1.1,1.7,5,2,1,2,3.8,-1.2832803710173,.970175231962605,1
421899004727,Sar,0,4.54545454545455,3,4,4,4,4,3,3,3, , , ,1.9,2,4.33333333333333,2,1,1,3.7,-.855520247344866,.970175231962605,1
421899004727,Jil,0,5,3.08333333333333,3.91666666666667,4,3.75,4,3.25,3,3, , , ,1,1.4,5,2,2,3,3.9,-.641640185508649,.769649168486463,1
421899004727,Lau,0,5,3.58333333333333,3.91666666666667,3.75,4,4,3.5,3.5,3.75, , , ,1,1.1,4.08333333333333,2,2,1,3.6,.64164018550865,.769649168486463,1
421899003803,464,1,5,4,4,4,4,4,4,4,4,3,3.75,3.25,2,1,5,2,1,1,3.7,1.71104049468973,.970175231962605,1
421899003773,Eri,0,4.90909090909091,3.75,3.66666666666667,3.75,3.5,3.75,3.75,3.75,3.75, , , ,1,1,4.91666666666667,2,2,3,4,1.06940030918108,.168070978058039,1
421899003769,Chr,1,5,3,4,4,4,4,3,3,3,3.25,3.25,3.5,1,1,5,1,2,1,3.5,-.855520247344866,.970175231962605,1
421899003769,196,1,4.90909090909091,3.25,4,4,4,4,3.5,3.5,2.75,3.25,3.25,4,1.2,2.2,5,2,5,1,4,-.213880061836216,.970175231962605,1
421899003769,294,1,5,4,3.83333333333333,3.75,4,3.75,4,4,4,3.25,3.5,3.75,2.3,1.6,4.5,2,3,1,4,1.71104049468973,.569123105010323,1
421899003769,324,1,3.45454545454545,3.5,3.66666666666667,3,4,4,3.25,3.75,3.5,3,3.25,3,1.8,2.3,4.66666666666667,2,1,1,3.79,.427760123672433,.168070978058039,1
421899003769,392,1,4.63636363636364,3.5,4,4,4,4,3.75,3,3.75,3.5,3.5,3.75,1,1.5,5,2,2,1,3.7,.427760123672433,.970175231962605,1
421899003769,474,1,3.90909090909091,3.5,3.83333333333333,4,3.75,3.75,3.25,3.75,3.5,2.5,3,3,2.3,2.7,5,2,1,3,4,.427760123672433,.569123105010323,1
421899003769,473,1,4.09090909090909,3.25,4,4,4,4,3,3.75,3,3.25,3.25,3,2,2,5,2,2,1,4,-.213880061836216,.970175231962605,1
421899003765,Kel,0,4.72727272727273,3.41666666666667,3.83333333333333,3.75,4,3.75,3.25,3.5,3.5, , , ,1.2,1.7,5,2,1,1,3.8,.213880061836217,.569123105010323,1
421899003760,470,1,4.63636363636364,3.58333333333333,3.5,3.75,3,3.75,3.5,3.5,3.75,2.75,3.5,3.75,2.2,2,4.75,2,1,1,3.7,.64164018550865,-.232981148894243,1
421899003760,471,1,4.81818181818182,3.08333333333333,3.75,3.75,4,3.5,3.25,3,3,2.5,3,3,2.2,2.4,4.91666666666667,2,2,1,3.8,-.641640185508649,.368597041534181,1
421899003744,Dex,0,2.72727272727273,4,4,4,4,4,4,4,4, , , ,1.5,1,4.58333333333333,1,5,3,3.5,1.71104049468973,.970175231962605,1
421899003744,198,1,4.45454545454545,3.66666666666667,3.83333333333333,3.75,4,3.75,3.5,4,3.5,3.25,3.25,3.5,1.8,1.4,4.33333333333333,1,2,2,3.9,.855520247344866,.569123105010323,1
421899003744,285,1,3.09090909090909,3.91666666666667,4,4,4,4,3.75,4,4,4,4,4,2.6,4,4.33333333333333,2,2,1,3.7,1.49716043285352,.970175231962605,1
421899003744,284,1,5,3.91666666666667,4,4,4,4,4,4,3.75,4,4,3.75,1,1,5,2,4,4,3.9,1.49716043285352,.970175231962605,1
421899003744,395,1,4.72727272727273,3.16666666666667,3.75,3.5,4,3.75,3,3.5,3,3,3,3.5,1.2,1,5,2,4,1,4,-.427760123672433,.368597041534181,1
421884001106,Dev,0,5,3.08333333333333,3.83333333333333,4,3.75,3.75,3.5,3,2.75, , , ,2.9,2,4.41666666666667,2,2,1,4,-.641640185508649,.569123105010323,1
421776006346,412,1,4.18181818181818,3.08333333333333,3.25,3.25,3.5,3,3.25,3.5,2.5,3.25,3.25,3.5,3.1,2.8,4.25,2,1,1,4,-.641640185508649,-.834559339322667,1
421776006346,490,1,3.54545454545455,3.41666666666667,3.66666666666667,3.25,4,3.75,3.25,4,3,3,3,3.5,1.2,1.5,4.91666666666667,2,2,1,3.1,.213880061836217,.168070978058039,1
421776006345,233,1,2.36363636363636,2.25,2.58333333333333,2.25,3,2.5,2,2,2.75,2.25,2,2.25,4.5,3.7,2.91666666666667,2,1,1,3.9,-2.78044080387082,-2.4387678471318,1
421776006345,234,1,4.18181818181818,2.33333333333333,3.5,3.75,3.5,3.25,2.25,2.75,2,2.75,1.75,2,1,2.3,4.83333333333333,2,1,1,3.5,-2.5665607420346,-.232981148894243,1
421776006345,235,1,4.18181818181818,3.08333333333333,3,3,3,3,2.75,3.5,3,3.5,2.25,2.5,2,2.3,5,1,2,1,3.6,-.641640185508649,-1.43613752975109,1
421776006345,330,1,4.63636363636364,3.33333333333333,3.33333333333333,3.25,3.5,3.25,3.25,3.5,3.25,2.75,2.25,2.5,2.1,1.4,4.83333333333333,2,2,1,3.9,7.15904574140093E-016,-.634033275846526,1
421776000459,237,1,4.54545454545455,3,3.16666666666667,3.5,3,3,3.25,3,2.75,3,3,3,2.9,2.2,3.83333333333333,2,1,1,3.71,-.855520247344866,-1.03508540279881,1
421776000459,236,1,3.90909090909091,3.41666666666667,3.5,4,3.25,3.25,3.25,4,3,3,3,2.75,1.8,2.2,4.66666666666667,2,1,1,3.6,.213880061836217,-.232981148894243,1
421776000459,238,1,3.72727272727273,2.91666666666667,3.08333333333333,3.25,3,3,3,2.25,3.5,3,3,3.75,2,2,3.91666666666667,2,2,2,3.5,-1.06940030918108,-1.23561146627495,1
421776000459,405,1,4.18181818181818,3.25,3.41666666666667,3.25,3.25,3.75,3.5,3.75,2.5,2.5,3,3.25,1,1.8,5,1,1,2,3.7,-.213880061836216,-.433507212370385,1
421776000459,504,1,4.45454545454545,3.33333333333333,3.33333333333333,3.25,3,3.75,3.25,3.25,3.5,2.75,2.5,3.25,1.8,1.3,4.25,2,1,1,3.6,7.15904574140093E-016,-.634033275846526,1
421776000459,498,1,3.81818181818182,3.58333333333333,3.58333333333333,3.5,3.5,3.75,3.5,3.5,3.75,2.5,2,2.75,2.6,1.9,3,2,1,1,3.7,.64164018550865,-.0324550854181014,1
421689006078,581,1,4.36363636363636,3.16666666666667,4,4,4,4,3.25,3.5,2.75,3,3,3.5,1.8,2.4,4.5,2,1,2,3.7,-.427760123672433,.970175231962605,1
421689005260,376,1,4.72727272727273,3.33333333333333,3.91666666666667,4,4,3.75,3.25,3,3.75,3.75,3,3.75,1,1.3,5,2,2,1,3.9,7.15904574140093E-016,.769649168486463,1
421689003413,377,1,5,3.25,3.75,4,3.25,4,3.75,3,3,4,4,4,1,1,4.91666666666667,2,2,2,3.7,-.213880061836216,.368597041534181,1
421524001785,214,1,5,3.16666666666667,3.5,3.75,3.25,3.5,3.25,3.5,2.75,3,3,3,1.5,1.2,5,1,3,3,3.7,-.427760123672433,-.232981148894243,1
421524000703,374,1,5,3.5,3,3,3,3,3.25,3.75,3.5,3.25,3.75,4,2,1,3.91666666666667,2,2,1,3.73,.427760123672433,-1.43613752975109,1
421524000703,375,1,5,3.66666666666667,4,4,4,4,3.75,4,3.25,3,4,4,2,1.9,4.33333333333333,2,2,1,3.44,.855520247344866,.970175231962605,1
421524000703,570,1,4.27272727272727,3.66666666666667,4,4,4,4,3.75,3.75,3.5,3.25,3.25,3.75,1,1,4.83333333333333,2,2,2,3.4,.855520247344866,.970175231962605,1
421524000703,577,1,5,4,4,4,4,4,4,4,4,3.5,3.25,3.5,1,1,4.83333333333333,2,2,4,3.91,1.71104049468973,.970175231962605,1
421521007441,Jes,0,5,3.66666666666667,3.66666666666667,3.75,3.25,4,3.75,3.5,3.75, , , ,1,1,5,2,4,2,3.7,.855520247344866,.168070978058039,1
421503006867,232,1,4.63636363636364,3.33333333333333,3.83333333333333,3.75,4,3.75,3.25,3.25,3.5,3,3.25,3,2.2,2.7,4.58333333333333,2,1,2,3.8,7.15904574140093E-016,.569123105010323,1
421503006867,231,1,4.54545454545455,3,3.41666666666667,3.5,3.25,3.5,2.75,2.75,3.5,3,3.25,3,1.5,2.4,4.5,2,1,1,3.65,-.855520247344866,-.433507212370385,1
421503006867,493,1,5,3.75,3.75,4,3.5,3.75,3.25,4,4,2.75,3.25,2.5,1,1,5,2,1,1,3.4,1.06940030918108,.368597041534181,1
421503006867,509,1,5,3.75,4,4,4,4,3.75,4,3.5,2.75,2.25,2,2.1,1.3,5,2,1,2,3.8,1.06940030918108,.970175231962605,1
421503005021,332,1,4.27272727272727,3.08333333333333,3.41666666666667,3.5,3.5,3.25,3,3,3.25,3,2.75,3.25,1.6,2.3,4.5,2,1,2,3.4,-.641640185508649,-.433507212370385,1
421503005021,331,1,3.90909090909091,2.66666666666667,3.41666666666667,3.5,3,3.75,3.25,2.75,2,3,3,3.5,2.6,2.9,4.25,2,2,1,3.9,-1.71104049468973,-.433507212370385,1
421503005021,494,1,4.27272727272727,3.08333333333333,2,2,2,2,3.25,3,3,2.75,2.75,2.75,3.5,2.3,2.66666666666667,2,2,1,3.4,-.641640185508649,-3.84245029146479,1
421503001711,404,1,3.90909090909091,3.5,3.75,3.5,4,3.75,3.25,3.5,3.75,3,3.25,3.5,2.3,2.3,4.58333333333333,2,1,1,3.9,.427760123672433,.368597041534181,1
421503001711,403,1,4.63636363636364,3.41666666666667,3.66666666666667,3.75,4,3.25,3.5,3.75,3,3,3.5,2.75,1,1.7,4.58333333333333,2,1,1,3.46,.213880061836217,.168070978058039,1
421503000862,516,1,2.54545454545455,3.08333333333333,3.66666666666667,3.5,3.75,3.75,3,3.5,2.75,3.25,3.75,3.5,3.4,3.6,2.83333333333333,2,2,1,3.9,-.641640185508649,.168070978058039,1
421455002618,set,0,3.81818181818182,3.66666666666667,3.41666666666667,3,3.5,3.75,3.75,3.75,3.5, , , ,1.6,1,1.33333333333333,1,4,1,3.7,.855520247344866,-.433507212370385,1
421410001797,580,1,4.90909090909091,4,4,4,4,4,4,4,4,3.75,3.75,4,2,2,4.25,2,4,4,3.98,1.71104049468973,.970175231962605,1
421410001776,Chr,0,3.09090909090909,3.41666666666667,2.83333333333333,3,2.75,2.75,3.5,3,3.75, , , ,2.8,3.3,4.08333333333333,1,4,1,3.3,.213880061836217,-1.83718965670337,1
421410001776,441,1,5,3.58333333333333,4,4,4,4,4,3.5,3.25,4,4,3.75,1,1.6,4.58333333333333,2,2,2,3.49,.64164018550865,.970175231962605,1
421410001776,513,1,4.81818181818182,3.41666666666667,3.75,4,3.75,3.5,4,3.5,2.75,3,3.25,3.5,1.1,2,4.91666666666667,2,2,3,3.88,.213880061836217,.368597041534181,1
421410001776,506,1,4.36363636363636,3,3,3,3,3,3.25,3,2.75,2.75,2.5,2.75,2,2.4,4,2,2,1,3.6,-.855520247344866,-1.43613752975109,1
421410001776,566,1,5,2.75,3.75,3.5,3.75,4,3.5,2.25,2.5,3.25,3.25,3.75,1,2.2,5,2,2,2,3.9,-1.49716043285352,.368597041534181,1
421410001752,372,1,4.81818181818182,3.33333333333333,3.66666666666667,3.5,4,3.5,3.25,3.5,3.25,3.5,3,3.75,1.2,1.5,5,2,2,1,3.2,7.15904574140093E-016,.168070978058039,1
421410001752,369,1,5,3.91666666666667,4,4,4,4,3.75,4,4,4,4,4,2,2,5,2,2,3,4,1.49716043285352,.970175231962605,1
421410001752,370,1,4.81818181818182,3.5,3.75,3.75,3.5,4,3,4,3.5,3,2.5,3,2,2.5,4.91666666666667,2,1,2,3.3,.427760123672433,.368597041534181,1
421410001752,569,1,4.63636363636364,3.41666666666667,3.75,3.5,4,3.75,3.5,3.25,3.5,3,3.25,3.75,1.2,1.7,4.91666666666667,2,2,1,3.37,.213880061836217,.368597041534181,1
421410000122,213,1,5,3.66666666666667,3.66666666666667,4,4,3,4,4,3,3,3,3,1.3,1.1,4.75,1,2,3,3.4,.855520247344866,.168070978058039,1
421410000122,371,1,5,3.5,3.66666666666667,3.75,4,3.25,3.25,4,3.25,3.5,4,3.25,1,2,4.75,2,2,1,3.7,.427760123672433,.168070978058039,1
421410000122,373,1,4.81818181818182,3.66666666666667,3.5,4,3,3.5,3.75,3.75,3.5,3.5,3.25,3.5,1,1.3,5,2,2,2,3.5,.855520247344866,-.232981148894243,1
421410000122,442,1,4.36363636363636,3.25,3.91666666666667,4,4,3.75,3.25,3,3.5,3,2.75,2.5,2,2.2,4.58333333333333,2,2,1,3.32,-.213880061836216,.769649168486463,1
421410000122,And,1,4.09090909090909,3.25,3.33333333333333,3.25,3.75,3,3.25,3.75,2.75,2.75,2.75,3.25,1.8,2.4,4,2,2,2,3.65,-.213880061836216,-.634033275846526,1
421410000122,586,1,5,3.66666666666667,4,4,4,4,3.5,3.75,3.75,3.25,3.25,3.75,1,1,5,2,2,1,3.8,.855520247344866,.970175231962605,1
421158007501,402,1,4.81818181818182,2.66666666666667,3.25,3.5,3,3.25,2.75,3,2.25,3.25,3.5,2.75,2.6,3.6,4.83333333333333,2,1,1,3.8,-1.71104049468973,-.834559339322667,1
421158007488,400,1,4.36363636363636,2.91666666666667,3.5,3.75,3.75,3,2.75,3.25,2.75,3.75,3.75,2.75,2,2.3,5,2,2,3,3.4,-1.06940030918108,-.232981148894243,1
421158007488,401,1,4.45454545454545,3.16666666666667,3.91666666666667,4,3.75,4,3.25,3.25,3,3,3.25,3.75,1,1.6,5,2,1,2,3.7,-.427760123672433,.769649168486463,1
421158007488,492,1,4.18181818181818,2.83333333333333,3.25,3.5,3,3.25,3.25,2.5,2.75,2.75,3,2.5,3.8,3,4.08333333333333,2,1,1,3.8,-1.2832803710173,-.834559339322667,1
421158007488,263,1,3.45454545454545,2.91666666666667,2.91666666666667,2.75,3,3,3,3,2.75,2.5,2.25,3,2,2.7,4.16666666666667,2,1,1,3.7,-1.06940030918108,-1.63666359322723,1
421158007488,228,1,4,3,2.83333333333333,3,3,2.5,3,3,3,3,2.5,2.75,2.3,2.3,3.5,2,2,1,3.7,-.855520247344866,-1.83718965670337,1
421158007488,230,1,4.63636363636364,3.5,3.58333333333333,3.25,3.75,3.75,3.5,3.25,3.75,3,3,3,2.1,2,4.75,2,1,2,3.6,.427760123672433,-.0324550854181014,1
421158007488,227,1,3.63636363636364,2.5,2.75,3.25,2.5,2.5,3,2,2.5,2.5,2.75,1.75,3.2,3.1,4.75,2,1,1,3.8,-2.13880061836217,-2.03771572017952,1
421158007488,321,1,4,3.25,2.41666666666667,2,2.75,2.5,3.5,3.5,2.75,3.25,2.25,3,2.4,1.9,3.33333333333333,2,1,1,3.6,-.213880061836216,-2.83981997408408,1
421158007488,322,1,3.72727272727273,3.08333333333333,3.58333333333333,3.5,3.25,4,3,3.25,3,3.25,3,2.75,2.1,2.5,4.41666666666667,2,2,1,3.9,-.641640185508649,-.0324550854181014,1
421158007488,320,1,4.54545454545455,3.5,3.33333333333333,3.75,3.25,3,3.5,3.25,3.75,3.5,3,3,2.9,2.9,4.41666666666667,2,1,1,3.86,.427760123672433,-.634033275846526,1
421158007488,323,1,4,3.16666666666667,3.33333333333333,3.5,3.5,3,3,3.5,3,2.5,2.75,2.75,1.6,2.2,4.41666666666667,2,2,1,3.91,-.427760123672433,-.634033275846526,1
421158007488,283,1,4.09090909090909,3.5,3.66666666666667,4,3.5,3.5,3,4,3.5,2.75,3.5,3.5,2.2,2.8,3.66666666666667,2,1,4,3.5,.427760123672433,.168070978058039,1
420858001705,Kay,0,4.63636363636364,3.5,4,4,4,4,3,3.75,3.75, , , ,4.4,3.8, ,2,2,1,3.8,.427760123672433,.970175231962605,1
420759007266,384,1,4.81818181818182,3.58333333333333,3.75,3.75,3.75,3.75,3.75,3.5,3.5,3,2.5,3,1.6,1.2,5,2,2,1,3.8,.64164018550865,.368597041534181,1
420759006678,327,1,4.90909090909091,2.75,3.41666666666667,3.5,3.25,3.5,3.25,2.5,2.5,3,2.5,3,1.6,2.3,4.58333333333333,1,2,1,3.26,-1.49716043285352,-.433507212370385,1
420759006678,414,1,4.45454545454545,3.66666666666667,3.66666666666667,3.75,3.75,3.5,3.75,3.75,3.5,4,4,4,1.7,1.2,4.08333333333333,2,1,2,3.4,.855520247344866,.168070978058039,1
420759004801,Jam,0,4.09090909090909,3.83333333333333,4,4,4,4,3.75,4,3.75, , , ,1.7,2.3,3.83333333333333,2,4,1,3.3,1.2832803710173,.970175231962605,1
420759004801,212,1,3.27272727272727,3.66666666666667,4,4,4,4,3.75,3.5,3.75,3.25,3,3.75,3,3.3,3.41666666666667,2,2,1,3.98,.855520247344866,.970175231962605,1
420759004801,325,1,4.63636363636364,2.91666666666667,3.58333333333333,3.75,3.5,3.5,3.5,2.75,2.5,2.75,2,2.25,1,2.2,5,1,1,1,3.8,-1.06940030918108,-.0324550854181014,1
420759004801,367,1,5,3.66666666666667,3.5,3.25,3.25,4,3.5,3.75,3.75,2.75,2.25,3,1.4,1,4.58333333333333,2,2,1,3.66,.855520247344866,-.232981148894243,1
420759004801,326,1,4.45454545454545,2.83333333333333,3.5,3.75,3.5,3.25,3,2.75,2.75,3,2.75,3.25,1.6,2.1,4.75,2,1,1,3.8,-1.2832803710173,-.232981148894243,1
420759004801,366,1,3.27272727272727,2.83333333333333,3.41666666666667,3.75,3.5,3,3.5,2.5,2.5,3.25,3,2.5,3,2,1.75,1,2,1,3.8,-1.2832803710173,-.433507212370385,1
420759004801,510,1,5,3,3.16666666666667,3.5,3.5,2.5,3.5,2.5,3,2.75,2.25,2.5,2.7,2.1,4.08333333333333,2,1,2,3.46,-.855520247344866,-1.03508540279881,1
420759004801,564,1,4.09090909090909,3.58333333333333,3.16666666666667,3.5,3,3,3.75,3.5,3.5,3.75,3,3.75,2,2,4.16666666666667,2,1,1,3.4,.64164018550865,-1.03508540279881,1
420759001749,368,1,4.36363636363636,3.25,3.66666666666667,4,3,4,3,2.75,4,3.25,3.25,4,1.5,1.9,4.75,2,2,1,3.9,-.213880061836216,.168070978058039,1
420759000667,365,1,4.72727272727273,3.83333333333333,4,4,4,4,3.75,4,3.75,4,3.75,3.75,1.4,1.7,5,2,1,3,3.7,1.2832803710173,.970175231962605,1
420759000667,364,1,4.90909090909091,3.58333333333333,3.66666666666667,3.75,3.5,3.75,3.25,4,3.5,3,2.75,3.5,2.9,2.4,4.33333333333333,2,2,1,3.77,.64164018550865,.168070978058039,1
420759000667,585,1,4.90909090909091,3.16666666666667,3.58333333333333,3.5,3.75,3.5,3,3.25,3.25,3.25,3.5,4,1.3,2.1,5,2,1,2,3.6,-.427760123672433,-.0324550854181014,1
420759000667,579,1,5,3.5,4,4,4,4,3.25,3.25,4,3.25,3.75,4,1,1,4.66666666666667,2,1,1,3.5,.427760123672433,.970175231962605,1
420711004849,Ali,0,4.63636363636364,2.91666666666667,3.33333333333333,3.25,3.25,3.5,3.25,2.75,2.75, , , ,2,2.4,4.66666666666667,2,1,1,3.6,-1.06940030918108,-.634033275846526,1
420711001699,Car,0,4.27272727272727,3.41666666666667,3.41666666666667,3.5,3.5,3.25,3,4,3.25, , , ,2.3,1.9,4.83333333333333,2,1,3,3.9,.213880061836217,-.433507212370385,1
420655006267,Kat,0,3.81818181818182,3.25,3.91666666666667,4,4,3.75,3.5,3,3.25, , , ,2,2.1,5,2,1,1,3.8,-.213880061836216,.769649168486463,1
420540006783,Sar,0,3.81818181818182,3.16666666666667,3.58333333333333,4,3.5,3.25,3.5,3,3, , , ,2.6,2.1,3.16666666666667,2,1,1,3.2,-.427760123672433,-.0324550854181014,1
420540001811,Aly,0,3.90909090909091,3.66666666666667,4,4,4,4,3.75,3.5,3.75, , , ,1.5,2.4,4.66666666666667,2,2,1,3.5,.855520247344866,.970175231962605,1
420540001781,Kri,0,5,3.83333333333333,3.58333333333333,3.5,3.5,3.75,4,4,3.5, , , ,1.9,1.9, ,2,1,1,3.7,1.2832803710173,-.0324550854181014,1
420540001778,Emi,0,3,3.08333333333333,3,2.75,3,3.25,3.25,3,3, , , ,2.6,3.6,3.75,2,1,2,3.6,-.641640185508649,-1.43613752975109,1
420540001778,Sam,0,4.36363636363636,3.83333333333333,4,4,4,4,4,4,3.5, , , ,3.7,2.1,1.41666666666667,2,1,1,3.9,1.2832803710173,.970175231962605,1
420519007388,Rob,0,4.72727272727273,3.41666666666667,3.58333333333333,3.5,3.5,3.75,3.5,3.5,3.25, , , ,2.2,2.1,4.58333333333333,1,4,1,4,.213880061836217,-.0324550854181014,1
