cohort2,USER_ID,PRE_1,FIDEL_mean_mid,EFFmeanFINAL,EFFmeanMID,EFFmeanREG,TOTFRL,TotExper
1,384,3.74819117744875,4.81818181818182,3.75,3.58333333333333,2.83333333333333,110, 
1,411,3.63380925475824,3.72727272727273,4,3.5,3.16666666666667,130, 
1,470,3.72978324110062,4.63636363636364,3.5,3.58333333333333,3.33333333333333,267, 
1,564,3.67455943205625,4.09090909090909,3.16666666666667,3.58333333333333,3.5,132, 
2, ,3.85596807759642,5,4,3.91666666666667, , , 
1,291,3.66669082285272,4,3.91666666666667,3.41666666666667,3.41666666666667,240,22
1,414,3.71530960935426,4.45454545454545,3.66666666666667,3.66666666666667,4,129, 
1,516,3.52209805000881,2.54545454545455,3.66666666666667,3.08333333333333,3.5,166, 
2, ,3.77840202760216,4.09090909090909,4,3.83333333333333, ,132, 
1,586,3.78894135474676,5,4,3.66666666666667,3.41666666666667,174, 
2, ,3.86650740474101,4.90909090909091,3.66666666666667,3.75, ,1150, 
1,570,3.71530960935426,4.27272727272727,4,3.66666666666667,3.41666666666667,240, 
1,333,3.70744100015073,4.18181818181818,3.75,3.5,2.58333333333333,661,27
1,194,3.75605978665227,4.63636363636364,3.5,3.75,2.75,240,22
1,209,3.78183089753965,4.81818181818182,3.91666666666667,3.75,3.91666666666667,284,21
1,289,3.78500705014499,4.81818181818182,3.75,3.58333333333333,3.5,240,20.5
2, ,3.77053341839863,3.81818181818182,3.41666666666667,3.66666666666667, ,227, 
2, ,3.89671825489443,5,4,4, , , 
1,571,3.80734929109488,4.90909090909091,4,3.66666666666667,3.33333333333333,136, 
1,574,3.80760200842702,4.90909090909091,3.66666666666667,3.75,3.75, , 
1,288,3.81839405290375,4.90909090909091,4,3.66666666666667,3.75,240, 
1,509,3.82969153204477,5,4,3.75,2.33333333333333,112, 
1,404,3.72584893649886,3.90909090909091,3.75,3.5,3.25,53, 
1,498,3.72978324110062,3.81818181818182,3.58333333333333,3.58333333333333,2.41666666666667,68, 
1,474,3.74425687284698,3.90909090909091,3.83333333333333,3.5,2.83333333333333,744, 
1,198,3.80734929109488,4.45454545454545,3.83333333333333,3.66666666666667,3.33333333333333,811,25
1,561,3.85596807759642,4.90909090909091,4,3.91666666666667,3.25,43, 
1,385,3.86650740474101,5,3.75,3.75,3.16666666666667, ,25
1,324,3.70560020651592,3.45454545454545,3.66666666666667,3.5,3.08333333333333,744,32
2, ,3.8888496456909,4.36363636363636,4,3.83333333333333, , , 
2, ,3.93353412759067,4.72727272727273,3.91666666666667,4, , , 
1,365,3.85203377299465,4.72727272727273,4,3.83333333333333,3.83333333333333,76,10
2, ,3.98875793663504,5,4,4, ,323, 
1,292,3.74425687284698,3.45454545454545,4,3.5,3.25,649,7
2, ,3.66669082285272,1.81818181818182,4,3.41666666666667, ,363, 
1,284,3.92959982298891,5,4,3.91666666666667,3.91666666666667,811,23
1,464,3.93353412759067,5,4,4,3.33333333333333,616, 
1,369,3.94800775933703,5,4,3.91666666666667,4,100,8
1,267,3.92039585481485,4.63636363636364,3.66666666666667,3.91666666666667,3.91666666666667,661,7
1,577,3.97219079392173,5,4,4,3.41666666666667,240, 
1,294,3.98875793663504,5,3.83333333333333,4,3.5,744,11
1,580,3.98507634936542,4.90909090909091,4,4,3.83333333333333,31, 
1,212,3.82207564017338,3.27272727272727,4,3.66666666666667,3.33333333333333,132, 
1,334,3.9519420639388,4.45454545454545,4,4,2.5,83,8.8
2, ,3.89671825489443,2.72727272727273,4,4, ,811, 
1,285,3.89278395029266,3.09090909090909,4,3.91666666666667,4,811,25
