LEAID,district_,latcod,loncod,TotalFreeLunch,NumberStudents,ulocal,coname,countyCode,NumberTeachers,povrate,NumberSchools,pctprofEnglish,povrateW
4220250,RICHLAND SD,40.2702,-78.8404,368,1632,23,CAMBRIA COUNTY,42021,96.3,.224198282291241,2,49.25,.225490196078431
4220310,RIDGWAY AREA SD,41.4327,-78.7199,378,862,33,ELK COUNTY,42047,66.74,.430720938914804,3,42.95,.438515081206497
4220370,RIDLEY SD,39.9004,-75.3164,1895,5500,21,DELAWARE COUNTY,42045,377,.388265568268667,9,47.25,.344545454545455
4220400,RINGGOLD SD,40.2559,-79.9934,1366,2946,21,WASHINGTON COUNTY,42125,199.47,.460738125416191,4,41.1,.463679565512559
4220430,RIVERVIEW SD,40.5211,-79.8327,408,1018,21,ALLEGHENY COUNTY,42003,87.12,.446421459019128,3,46.4,.400785854616896
4220460,ROCHESTER AREA SD,40.7076,-80.2777,501,770,41,BEAVER COUNTY,42007,67.67,.628684076245739,3,38.65,.650649350649351
4220520,ROCKWOOD AREA SD,39.9171,-79.1607,301,732,42,SOMERSET COUNTY,42111,57,.410434041789974,2,55.55,.41120218579235
4220550,ROSE TREE MEDIA SD,39.9338,-75.3874,470,3705,21,DELAWARE COUNTY,42045,291.31,.117372534421456,6,43.6,.126855600539811
4220580,SOUTH FAYETTE TOWNSHIP SD,40.3759,-80.1705,310,2778,21,ALLEGHENY COUNTY,42003,165.75,.111715756680395,4,39.85,.111591072714183
4220640,SAINT MARYS AREA SD,41.2769,-78.4991,790,2156,42,ELK COUNTY,42047,136.3,.392312397742429,5,48.75,.366419294990724
4220730,SALISBURY TOWNSHIP SD,40.5607,-75.501,461,1615,21,LEHIGH COUNTY,42077,108.29,.276464060454507,4,43.8333333333333,.285448916408669
4220760,SALISBURY-ELK LICK SD,39.7515,-79.0841,133,277,42,SOMERSET COUNTY,42111,30.97,.481178310740355,2,42.65,.48014440433213
4220850,SAYRE AREA SD,41.9815,-76.5233,525,1107,32,BRADFORD COUNTY,42015,78.95,.469130290456432,2,34.9,.474254742547426
4220910,SCHUYLKILL HAVEN AREA SD,40.634,-76.1712,531,1264,32,SCHUYLKILL COUNTY,42107,92,.431147940657745,3,42.5,.420094936708861
4220970,SCHUYLKILL VALLEY SD,40.4424,-75.9438,395,1961,21,BERKS COUNTY,42011,133,.199189422293083,3,53.05,.201427842937277
4221090,SCRANTON SD,41.4196,-75.6575,6760,9733,13,LACKAWANNA COUNTY,42069,682.98,.703009444906907,16,36.2214285714286,.694544333710059
4221120,SELINSGROVE AREA SD,40.808,-76.8676,1026,2708,32,SNYDER COUNTY,42109,167.58,.381062965212357,4,44.4,.378877400295421
4221150,YOUGH SD,40.1772,-79.6713,949,2161,41,WESTMORELAND COUNTY,42129,150.1,.457089702829993,5,49.25,.439148542341509
4221180,SHADE-CENTRAL CITY SD,40.119,-78.8148,242,467,42,SOMERSET COUNTY,42111,37,.519094545988402,2,36.95,.518201284796574
4221200,SHALER AREA SD,40.5236,-79.9673,1629,4629,21,ALLEGHENY COUNTY,42003,361.83,.37080060777473,8,52.2,.351911860012962
4221240,SHAMOKIN AREA SD,40.7806,-76.5833,1694,2354,32,NORTHUMBERLAND COUNTY,42097,149.95,.732450020340816,4,42.0666666666667,.719626168224299
4221270,SHANKSVILLE-STONYCREEK SD,40.0179,-78.9062,117,361,42,SOMERSET COUNTY,42111,25.79,.324900692316423,3,48.1,.32409972299169
4221330,SHARON CITY SD,41.2259,-80.4978,1540,2106,21,MERCER COUNTY,42085,129.67,.760088765771322,5,32.675,.731244064577398
4221420,SHARPSVILLE AREA SD,41.2548,-80.4763,494,1309,21,MERCER COUNTY,42085,75.1,.386178027343363,3,45.2,.377387318563789
4221490,SHENANDOAH VALLEY SD,40.8187,-76.2087,817,1058,32,SCHUYLKILL COUNTY,42107,82,.766231154686464,2,36.9,.772211720226843
4221510,SHENANGO AREA SD,40.9698,-80.3158,364,1171,31,LAWRENCE COUNTY,42073,85,.306726284648909,2,51.9,.310845431255337
4221540,SHIKELLAMY SD,40.9027,-76.8114,1537,2944,32,NORTHUMBERLAND COUNTY,42097,147.77,.554513200401025,6,45.32,.522078804347826
4221570,SHIPPENSBURG AREA SD,40.0578,-77.5222,1365,3414,31,CUMBERLAND COUNTY,42041,202.32,.377185443354847,6,44.3,.399824253075571
4221660,SLIPPERY ROCK AREA SD,41.1355,-80.0112,718,2044,32,BUTLER COUNTY,42019,131,.356551839584272,5,48.2333333333333,.351272015655577
4221690,SMETHPORT AREA SD,41.8024,-78.4429,391,877,43,MCKEAN COUNTY,42083,66.5,.44221933991749,2,38.4,.445838084378563
4221810,SOLANCO SD,39.9149,-76.2096,1446,3585,31,LANCASTER COUNTY,42071,234.5,.408806198557787,7,46.4,.403347280334728
4221840,SOMERSET AREA SD,40.0034,-79.1,1066,2265,41,SOMERSET COUNTY,42111,166.3,.507927271589545,5,43.45,.470640176600441
4221870,SOUDERTON AREA SD,40.3119,-75.3512,1181,6479,21,MONTGOMERY COUNTY,42091,439.4,.192090239744572,11,48.9375,.182281216237074
4221910,SOUTH ALLEGHENY SD,40.3222,-79.8483,871,1572,21,ALLEGHENY COUNTY,42003,112.5,.559661553595317,3,42.15,.554071246819338
