NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment,MID_Fidel1,MID_Fidel2,MID_Fidel3,MID_Fidel4,MID_Fidel5,MID_Fidel6,MID_Fidel7,MID_Fidel8,MID_Fidel9,MID_Fidel10,MID_Fidel11,MID_Fidel12,MID_Fidel13,MID_Fidel14,MID_Fidel15,MID_Fidel16,MID_Fidel17,MID_Fidel18,MID_Fidel19,MID_Fidel20,MID_Fidel21,MID_Fidel22,MID_Fidel23,MID_Fidel24,MID_Fidel25,MID_Fidel26,MID_Fidel27
421899003803,464,Semester 5,1,1.55539994331191,5,4,4,4,1,1,5,1,1,1,3.7,.530577088716624,1161,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003773,Eri,Semester 4 Control,0,1.00452244268518,4.90909090909091,3.75,3.66666666666667,0,1,1,4.91666666666667,1,2,3,4,.867269984917044,1326,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003770,Jua,Semester 1 Control,0,.305456210303657,-9,3.5,3.5,0,1,1, ,0,2,1,3.8,.826989619377163,1156,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421899003769,Chr,Semester 2,1,-1.06303850810842,5,3,4,5,1,1,5,0,2,1,3.5,.65666372462489,1133,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003769,196,Semester 2,1,-.275059036674032,4.90909090909091,3.25,4,4,1,1,5,1,5,1,4,.65666372462489,1133,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,2,5,2
421899003769,324,Semester 3,1,.302492435668561,3.45454545454545,3.5,3.66666666666667,3,1,0,4.66666666666667,1,1,1,3.79,.65666372462489,1133,1,1,1,1,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5,5,5,5,5,5,1,3,3
421899003769,392,Semester 4,1,.2758184639527,4.63636363636364,3.5,4,4,1,1,5,1,2,1,3.7,.65666372462489,1133,4,4,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
421899003769,474,Semester 5,1,.364731703005572,3.90909090909091,3.5,3.83333333333333,3,1,0,5,1,1,3,4,.65666372462489,1133,4,3,4,3,4,4,4,4,3,4,4,4,5,3,4,4,4,3,4,4,3,4,4,4,3,3,1
421899003769,473,Semester 5,1,-.275059036674032,4.09090909090909,3.25,4,3,1,0,5,1,2,1,4,.65666372462489,1133,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003765,Kel,Semester 3 Control,0,.0921926304104553,4.72727272727273,3.41666666666667,3.83333333333333,0,1,1,5,1,1,1,3.8,.58296943231441,458,4,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,3,2,3
421899003760,Chr,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.544897959183673,490,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421899003760,470,Semester 5,1,.489082043845901,4.63636363636364,3.58333333333333,3.5,3,1,0,4.75,1,1,1,3.7,.544897959183673,490,4,4,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,1,2,3
