NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
421899003769,294,1,5,4,3.83333333333333,3.75,4,3.75,4,4,4,3.25,3.5,3.75,2.3,1.6,4.5,2,3,1,4,1.71104049468973,5
421899003769,324,1,3.45454545454545,3.5,3.66666666666667,3,4,4,3.25,3.75,3.5,3,3.25,3,1.8,2.3,4.66666666666667,2,1,1,3.79,.427760123672433,3.45454545454545
421899003769,392,1,4.63636363636364,3.5,4,4,4,4,3.75,3,3.75,3.5,3.5,3.75,1,1.5,5,2,2,1,3.7,.427760123672433,4.63636363636364
421899003769,474,1,3.90909090909091,3.5,3.83333333333333,4,3.75,3.75,3.25,3.75,3.5,2.5,3,3,2.3,2.7,5,2,1,3,4,.427760123672433,3.90909090909091
421899003769,473,1,4.09090909090909,3.25,4,4,4,4,3,3.75,3,3.25,3.25,3,2,2,5,2,2,1,4,-.213880061836216,4.09090909090909
421899003769,475,1,3.18181818181818,3.16666666666667, , , , ,3.25,3,3.25,2.75,3,3, ,2, ,2,2,3,3.6,-.427760123672433,3.18181818181818
421899003765,Kel,0,4.72727272727273,3.41666666666667,3.83333333333333,3.75,4,3.75,3.25,3.5,3.5, , , ,1.2,1.7,5,2,1,1,3.8,.213880061836217,0
421899003760,472,1,5,4, , , , ,4,4,4,3.25,3.5,3.25, ,1, ,2,2,2,3.5,1.71104049468973,5
421899003760,470,1,4.63636363636364,3.58333333333333,3.5,3.75,3,3.75,3.5,3.5,3.75,2.75,3.5,3.75,2.2,2,4.75,2,1,1,3.7,.64164018550865,4.63636363636364
421899003760,471,1,4.81818181818182,3.08333333333333,3.75,3.75,4,3.5,3.25,3,3,2.5,3,3,2.2,2.4,4.91666666666667,2,2,1,3.8,-.641640185508649,4.81818181818182
421899003744,Dex,0,2.72727272727273,4,4,4,4,4,4,4,4, , , ,1.5,1,4.58333333333333,1,5,3,3.5,1.71104049468973,0
421899003744,198,1,4.45454545454545,3.66666666666667,3.83333333333333,3.75,4,3.75,3.5,4,3.5,3.25,3.25,3.5,1.8,1.4,4.33333333333333,1,2,2,3.9,.855520247344866,4.45454545454545
421899003744,285,1,3.09090909090909,3.91666666666667,4,4,4,4,3.75,4,4,4,4,4,2.6,4,4.33333333333333,2,2,1,3.7,1.49716043285352,3.09090909090909
421899003744,286,1,4.27272727272727,2.58333333333333, , , , ,2.75,2.25,2.75,3.5,3.25,3.5, ,2.5, ,2,1,2,3.4,-1.92492055652595,4.27272727272727
421899003744,284,1,5,3.91666666666667,4,4,4,4,4,4,3.75,4,4,3.75,1,1,5,2,4,4,3.9,1.49716043285352,5
421899003744,395,1,4.72727272727273,3.16666666666667,3.75,3.5,4,3.75,3,3.5,3,3,3,3.5,1.2,1,5,2,4,1,4,-.427760123672433,4.72727272727273
